Accel_X,Accel_Y,Accel_Z,LDR,Label
-0.35,-1.56,9.19,107,AKTIF
2.52,-3.66,7.45,66,AKTIF
2.16,1.27,10.47,152,AKTIF
1.44,-1.6,9.52,144,AKTIF
0.73,0.11,11.26,144,AKTIF
-0.03,-1.01,11.7,135,AKTIF
6.03,-1.96,5.8,107,AKTIF
4.04,-1.61,8.67,119,AKTIF
-0.61,2.24,12.93,151,AKTIF
1.79,-0.36,6.32,128,AKTIF
0.07,2.04,9.06,161,AKTIF
3.12,0.3,7.38,153,AKTIF
0.51,2.18,9.92,176,AKTIF
-0.35,-0.36,11.14,143,AKTIF
-1.27,1.55,12.55,112,AKTIF
-1.33,0.28,10.99,110,AKTIF
1.46,-0.24,10.31,125,AKTIF
-0.39,-0.28,10.23,112,AKTIF
0.69,-0.66,11.52,111,AKTIF
-0.29,-1.98,8.21,98,AKTIF
2.2,-5.41,8.63,65,AKTIF
0.55,-1.68,11.22,103,AKTIF
-0.34,-4.38,7.73,101,AKTIF
1.15,-3.47,14.2,112,AKTIF
2.76,-3.72,5.73,117,AKTIF
-0.1,-3.52,9.24,175,AKTIF
3.25,-0.78,11.52,242,AKTIF
4.05,0.39,8.59,246,AKTIF
2.17,-1.02,8.92,260,AKTIF
0.14,-0.89,9.13,250,AKTIF
2.69,-1.24,9.24,217,AKTIF
0.68,1.32,10.52,176,AKTIF
0.49,0.14,10.37,155,AKTIF
-0.78,0.07,10.57,147,AKTIF
1.41,1.38,9.49,146,AKTIF
-1.36,0.65,10.52,150,AKTIF
1.83,0.15,9.6,145,AKTIF
0.36,2.97,12.17,147,AKTIF
-2.03,2.21,10.99,160,AKTIF
1.77,0.77,9.98,157,AKTIF
-0.5,1.37,10.77,145,AKTIF
1.68,-0.22,9.13,149,AKTIF
1.54,1.52,9.36,149,AKTIF
-1.09,1.71,12.68,169,AKTIF
4.27,2.15,10.4,163,AKTIF
0.09,2.41,8.71,165,AKTIF
1.27,2.25,10.1,176,AKTIF
-2.57,2.09,9.59,182,AKTIF
0.12,4.12,4.71,176,AKTIF
0.81,1.14,10.11,165,AKTIF
-0.82,-0.83,8.55,169,AKTIF
-0.32,-0.51,11.2,166,AKTIF
1.15,-0.76,10.58,150,AKTIF
-0.41,0.35,9.24,165,AKTIF
1.53,0.88,8.7,166,AKTIF
2.38,0.75,11.17,162,AKTIF
0.49,-0.5,9.55,143,AKTIF
-0.39,1.55,10.47,130,AKTIF
2.82,1.05,8.57,118,AKTIF
0.39,2.94,9.23,124,AKTIF
-0.36,1.47,12.01,165,AKTIF
0.96,0.55,10.49,155,AKTIF
-0.84,0.68,11.07,151,AKTIF
2.06,0.13,8.63,131,AKTIF
-0.54,1.12,9.27,145,AKTIF
1.34,-0.66,10.66,134,AKTIF
-0.1,0.04,8.94,176,AKTIF
0.51,2.26,11.53,170,AKTIF
2.61,0.77,10.46,135,AKTIF
-1.75,0.53,9.95,133,AKTIF
3.17,1.69,9.67,151,AKTIF
-1.35,0.37,11.06,119,AKTIF
-0.39,1.2,11.18,112,AKTIF
0.5,-0.0,10.75,103,AKTIF
-1.45,0.49,11.26,95,AKTIF
0.12,0.69,10.81,98,AKTIF
0.69,0.74,10.05,102,AKTIF
-1.18,0.86,10.35,100,AKTIF
-0.86,-0.1,6.5,107,AKTIF
-2.14,-0.84,12.06,117,AKTIF
0.51,1.31,11.55,112,AKTIF
1.16,1.03,11.81,157,AKTIF
-0.52,0.54,11.61,186,AKTIF
2.45,-0.24,10.87,177,AKTIF
-0.42,-1.02,10.01,112,AKTIF
1.55,-0.42,9.73,112,AKTIF
-0.94,-1.89,10.1,101,AKTIF
-0.54,-2.65,10.36,98,AKTIF
-1.44,-2.79,10.32,86,AKTIF
-0.92,-3.23,9.61,80,AKTIF
-0.67,-3.77,9.94,80,AKTIF
-1.24,-3.76,9.71,77,AKTIF
-3.13,-2.08,11.53,101,AKTIF
2.83,-1.08,10.13,164,AKTIF
-1.81,-1.03,10.14,157,AKTIF
3.03,0.65,9.12,176,AKTIF
0.98,2.56,12.07,183,AKTIF
-0.59,0.36,10.12,169,AKTIF
0.55,0.56,10.11,147,AKTIF
-2.86,0.65,10.07,165,AKTIF
0.08,0.43,10.74,168,AKTIF
-0.59,0.93,9.81,117,AKTIF
2.38,-1.86,9.48,119,AKTIF
1.42,0.84,10.19,157,AKTIF
-0.81,-0.36,10.56,194,AKTIF
1.03,1.39,10.6,240,AKTIF
-0.73,1.68,9.69,262,AKTIF
-1.28,2.27,10.8,272,AKTIF
0.73,0.91,9.88,272,AKTIF
-2.58,2.38,9.25,258,AKTIF
-1.15,1.85,10.99,251,AKTIF
0.07,1.47,9.68,262,AKTIF
-0.45,1.01,11.41,242,AKTIF
-0.48,1.4,8.66,189,AKTIF
-0.89,1.14,10.42,183,AKTIF
0.05,1.43,11.13,182,AKTIF
-0.57,0.92,11.55,170,AKTIF
-1.06,0.7,10.78,168,AKTIF
-0.41,0.8,10.4,180,AKTIF
-1.31,0.62,9.72,159,AKTIF
-1.39,0.79,10.35,174,AKTIF
-0.83,1.0,10.61,167,AKTIF
-0.67,0.94,10.44,172,AKTIF
-1.07,0.46,10.74,171,AKTIF
-0.8,0.16,10.31,145,AKTIF
-0.33,0.16,10.79,157,AKTIF
-0.01,0.34,10.72,171,AKTIF
-0.35,0.11,10.36,159,AKTIF
0.58,-1.43,9.73,128,AKTIF
0.08,-2.57,10.53,123,AKTIF
-0.12,-2.3,10.15,133,AKTIF
0.37,-1.68,9.75,134,AKTIF
-0.63,-0.0,11.81,181,AKTIF
0.71,-1.13,9.52,186,AKTIF
1.49,-0.45,10.01,178,AKTIF
1.27,1.61,10.41,178,AKTIF
0.95,1.29,9.65,181,AKTIF
0.58,1.56,10.92,192,AKTIF
1.03,2.37,9.97,198,AKTIF
-1.13,2.6,9.39,175,AKTIF
-0.43,2.92,9.33,171,AKTIF
-0.31,2.84,9.98,176,AKTIF
1.57,3.59,9.45,197,AKTIF
1.95,2.0,9.56,247,AKTIF
1.92,0.65,12.02,254,AKTIF
0.89,1.93,10.53,189,AKTIF
2.94,1.52,10.09,218,AKTIF
2.33,0.57,9.21,171,AKTIF
3.39,-2.45,8.47,71,AKTIF
3.69,-3.57,9.94,90,AKTIF
2.55,-2.37,11.19,124,AKTIF
4.02,1.92,11.79,190,AKTIF
3.76,-1.28,12.21,194,AKTIF
4.15,-0.45,11.21,50,AKTIF
-1.22,-4.38,10.09,112,AKTIF
-1.62,-2.88,10.53,144,AKTIF
-2.55,-2.94,10.07,128,AKTIF
-0.19,-3.17,8.78,68,AKTIF
-2.55,-3.26,11.78,64,AKTIF
3.86,-0.18,8.8,159,AKTIF
1.63,1.44,10.47,214,AKTIF
1.19,1.0,10.67,208,AKTIF
0.41,0.95,10.43,203,AKTIF
0.57,1.07,9.35,195,AKTIF
1.18,1.63,10.81,191,AKTIF
2.29,0.06,9.37,179,AKTIF
3.0,0.43,10.04,188,AKTIF
3.41,0.26,9.52,176,AKTIF
2.95,-2.36,9.5,144,AKTIF
1.2,-1.54,10.06,150,AKTIF
2.3,1.23,9.4,181,AKTIF
1.58,0.91,11.18,179,AKTIF
0.64,2.16,10.59,170,AKTIF
2.32,3.4,10.2,202,AKTIF
1.08,2.26,10.88,190,AKTIF
0.52,2.15,10.21,192,AKTIF
1.22,2.29,10.32,199,AKTIF
1.24,1.88,10.22,182,AKTIF
0.92,0.84,9.84,164,AKTIF
1.79,0.73,10.51,177,AKTIF
3.71,1.12,9.31,192,AKTIF
1.56,0.04,10.66,174,AKTIF
1.48,-0.71,10.7,168,AKTIF
1.32,-1.54,9.73,160,AKTIF
4.42,2.68,10.52,190,AKTIF
0.07,0.2,11.32,176,AKTIF
5.55,1.07,8.19,191,AKTIF
0.69,0.71,10.0,145,AKTIF
1.92,0.38,11.27,144,AKTIF
1.38,-2.09,9.73,156,AKTIF
1.99,-2.36,9.72,105,AKTIF
2.61,-2.86,9.44,92,AKTIF
1.55,-4.31,10.29,78,AKTIF
1.87,-2.34,10.83,79,AKTIF
0.85,-3.22,9.38,69,AKTIF
0.92,-3.01,9.36,65,AKTIF
-0.05,-2.69,12.62,64,AKTIF
0.06,-3.15,10.17,62,AKTIF
0.16,-2.89,9.71,61,AKTIF
-0.53,-3.22,9.39,79,AKTIF
-1.01,-2.71,9.9,67,AKTIF
-0.56,-2.65,8.87,95,AKTIF
2.99,0.04,11.37,174,AKTIF
-0.99,-0.33,11.16,219,AKTIF
4.83,1.92,10.43,217,AKTIF
0.78,2.17,10.13,199,AKTIF
2.33,1.24,10.47,155,AKTIF
1.21,-0.14,9.06,115,AKTIF
2.23,-1.69,9.53,153,AKTIF
1.03,0.28,12.72,239,AKTIF
1.16,0.48,10.13,272,AKTIF
-0.13,2.09,11.33,220,AKTIF
3.51,0.25,8.53,247,AKTIF
0.31,1.34,10.94,240,AKTIF
4.88,0.7,8.9,272,AKTIF
0.88,3.14,9.31,158,AKTIF
1.18,1.03,10.62,192,AKTIF
2.0,0.87,9.67,165,AKTIF
-1.31,0.49,10.12,122,AKTIF
2.66,-0.06,10.83,106,AKTIF
3.77,1.75,9.15,150,AKTIF
1.94,1.62,11.93,151,AKTIF
2.51,1.23,9.85,109,AKTIF
3.68,-0.48,9.55,133,AKTIF
4.25,0.87,11.01,128,AKTIF
1.85,1.12,10.83,143,AKTIF
1.45,0.1,10.63,131,AKTIF
3.0,0.85,10.38,134,AKTIF
3.73,-0.79,8.05,164,AKTIF
0.2,0.65,12.35,177,AKTIF
