Accel_X,Accel_Y,Accel_Z,LDR,Label
1.95,-1.45,9.91,0,AKTIF
2.3,0.34,10.2,0,AKTIF
1.9,0.17,10.3,0,AKTIF
1.78,0.23,10.71,0,AKTIF
-0.13,0.84,10.83,0,AKTIF
1.71,-0.65,10.51,0,AKTIF
0.8,-1.27,10.8,0,AKTIF
0.47,0.14,10.4,0,AKTIF
0.49,0.11,10.39,0,AKTIF
0.54,0.19,10.35,0,AKTIF
0.44,0.11,10.22,0,AKTIF
0.43,0.15,10.41,0,AKTIF
0.44,0.16,10.4,0,AKTIF
0.46,0.16,10.41,0,AKTIF
0.49,0.12,10.36,0,AKTIF
0.52,0.14,10.42,0,AKTIF
0.45,0.14,10.47,0,AKTIF
0.44,0.18,10.35,0,AKTIF
0.49,0.16,10.54,0,AKTIF
0.46,0.14,10.38,0,AKTIF
0.48,0.14,10.42,0,AKTIF
0.5,0.18,10.56,0,AKTIF
0.46,0.13,10.4,0,AKTIF
1.62,-1.86,9.38,0,AKTIF
1.92,-1.7,9.97,0,AKTIF
1.43,-1.8,10.28,0,AKTIF
0.44,-2.75,10.36,0,AKTIF
1.44,-2.38,9.6,161,AKTIF
1.04,-0.26,10.29,159,AKTIF
-0.94,-0.75,10.67,202,AKTIF
-0.78,0.97,11.09,209,AKTIF
0.16,-0.86,9.98,223,AKTIF
1.48,-0.61,11.6,160,AKTIF
-0.11,-0.66,10.41,47,AKTIF
5.15,5.34,13.04,145,AKTIF
1.81,1.05,12.49,208,AKTIF
0.51,0.13,5.47,260,AKTIF
1.06,0.9,14.81,112,AKTIF
1.13,1.07,7.17,64,AKTIF
-1.48,1.08,13.72,33,AKTIF
1.48,0.47,10.65,15,AKTIF
2.24,-0.11,9.31,37,AKTIF
0.52,1.36,10.92,67,AKTIF
-0.17,0.73,9.7,57,AKTIF
2.08,2.08,10.11,48,AKTIF
1.37,-0.5,10.35,61,AKTIF
5.36,2.1,8.45,89,AKTIF
2.42,0.78,11.61,28,AKTIF
1.1,1.62,9.11,48,AKTIF
3.45,-0.73,10.5,48,AKTIF
4.28,-0.28,9.16,47,AKTIF
1.46,-1.79,10.71,48,AKTIF
2.27,3.28,11.31,33,AKTIF
2.47,2.01,9.76,20,AKTIF
3.76,-3.9,6.4,39,AKTIF
1.23,2.63,10.25,10,AKTIF
-0.12,1.03,7.54,12,AKTIF
0.63,4.23,10.25,0,AKTIF
1.57,1.47,7.98,0,AKTIF
1.64,4.3,11.08,0,AKTIF
0.07,0.93,9.75,0,AKTIF
1.44,-1.11,8.69,0,AKTIF
1.29,-2.21,9.63,0,AKTIF
3.72,-4.18,5.86,0,AKTIF
2.56,-2.81,7.2,0,AKTIF
2.1,-1.25,9.98,0,AKTIF
2.66,-1.44,10.22,0,AKTIF
2.18,2.23,11.1,0,AKTIF
1.6,0.01,9.92,0,AKTIF
1.3,1.62,9.17,0,AKTIF
0.79,1.76,9.71,0,AKTIF
-0.03,1.11,9.52,0,AKTIF
2.97,1.62,9.85,0,AKTIF
0.72,-1.69,10.58,0,AKTIF
3.11,-3.01,10.34,0,AKTIF
1.76,-3.28,8.84,0,AKTIF
1.72,-3.95,8.5,0,AKTIF
3.55,-3.8,9.0,0,AKTIF
1.82,-4.21,13.14,0,AKTIF
2.12,-4.8,9.69,0,AKTIF
2.82,-4.19,10.65,0,AKTIF
2.21,-1.31,11.8,0,AKTIF
0.85,-1.18,6.54,6,AKTIF
