Accel_X,Accel_Y,Accel_Z,LDR,Label
0.87,-0.11,10.41,216,ALAT_DILEPAS
0.89,-0.11,10.44,203,ALAT_DILEPAS
0.88,-0.09,10.41,218,ALAT_DILEPAS
0.84,-0.08,10.42,217,ALAT_DILEPAS
0.8,-0.06,10.39,209,ALAT_DILEPAS
0.85,-0.05,10.43,220,ALAT_DILEPAS
0.85,-0.08,10.39,211,ALAT_DILEPAS
0.85,-0.11,10.4,218,ALAT_DILEPAS
0.84,-0.08,10.41,217,ALAT_DILEPAS
0.84,-0.11,10.49,213,ALAT_DILEPAS
0.88,-0.09,10.4,213,ALAT_DILEPAS
0.84,-0.07,10.4,209,ALAT_DILEPAS
0.89,-0.11,10.41,215,ALAT_DILEPAS
0.84,-0.1,10.38,214,ALAT_DILEPAS
0.84,-0.09,10.46,217,ALAT_DILEPAS
0.82,-0.1,10.39,219,ALAT_DILEPAS
0.82,-0.09,10.4,221,ALAT_DILEPAS
0.88,-0.1,10.43,206,ALAT_DILEPAS
0.85,-0.1,10.44,217,ALAT_DILEPAS
0.86,-0.12,10.41,217,ALAT_DILEPAS
0.86,-0.06,10.39,219,ALAT_DILEPAS
0.84,-0.06,10.38,222,ALAT_DILEPAS
0.84,-0.07,10.39,221,ALAT_DILEPAS
0.84,-0.05,10.45,219,ALAT_DILEPAS
0.89,-0.08,10.38,217,ALAT_DILEPAS
0.85,-0.09,10.47,214,ALAT_DILEPAS
0.85,-0.1,10.42,215,ALAT_DILEPAS
0.84,-0.1,10.43,214,ALAT_DILEPAS
0.8,-0.08,10.43,214,ALAT_DILEPAS
0.85,-0.06,10.43,219,ALAT_DILEPAS
0.85,-0.13,10.41,221,ALAT_DILEPAS
0.87,-0.05,10.47,221,ALAT_DILEPAS
0.84,-0.07,10.36,211,ALAT_DILEPAS
0.82,-0.09,10.44,206,ALAT_DILEPAS
0.85,-0.09,10.45,213,ALAT_DILEPAS
0.85,-0.09,10.38,214,ALAT_DILEPAS
0.85,-0.07,10.45,215,ALAT_DILEPAS
0.83,-0.08,10.37,219,ALAT_DILEPAS
0.85,-0.11,10.46,219,ALAT_DILEPAS
0.83,-0.09,10.43,219,ALAT_DILEPAS
0.84,-0.06,10.41,218,ALAT_DILEPAS
0.89,-0.08,10.38,219,ALAT_DILEPAS
0.85,-0.1,10.37,214,ALAT_DILEPAS
0.88,-0.08,10.47,209,ALAT_DILEPAS
0.85,-0.1,10.47,209,ALAT_DILEPAS
0.87,-0.13,10.41,214,ALAT_DILEPAS
0.79,-0.09,10.43,217,ALAT_DILEPAS
0.87,-0.12,10.41,219,ALAT_DILEPAS
0.83,-0.12,10.39,221,ALAT_DILEPAS
0.83,-0.08,10.43,208,ALAT_DILEPAS
0.86,-0.07,10.44,214,ALAT_DILEPAS
0.8,-0.09,10.43,214,ALAT_DILEPAS
0.84,-0.11,10.43,214,ALAT_DILEPAS
0.85,-0.09,10.41,219,ALAT_DILEPAS
