Accel_X,Accel_Y,Accel_Z,LDR,Label
0.2,0.31,10.13,0,ALAT_DILEPAS
1.8,0.4,10.98,0,ALAT_DILEPAS
0.46,1.01,9.57,0,ALAT_DILEPAS
-2.68,3.17,9.51,0,ALAT_DILEPAS
-0.19,0.49,9.97,0,ALAT_DILEPAS
1.13,-0.11,10.59,0,ALAT_DILEPAS
0.38,1.22,9.88,0,ALAT_DILEPAS
-0.18,0.56,10.28,0,ALAT_DILEPAS
-0.5,0.47,10.33,0,ALAT_DILEPAS
-0.44,0.45,10.32,0,ALAT_DILEPAS
-0.45,0.47,10.39,0,ALAT_DILEPAS
-0.4,0.42,10.38,0,ALAT_DILEPAS
-0.38,0.53,10.3,0,ALAT_DILEPAS
-0.43,0.45,10.43,0,ALAT_DILEPAS
-0.37,0.56,10.33,0,ALAT_DILEPAS
-0.4,0.53,10.03,0,ALAT_DILEPAS
-0.4,0.57,10.28,0,ALAT_DILEPAS
-0.43,0.61,10.36,0,ALAT_DILEPAS
-0.33,0.48,10.64,0,ALAT_DILEPAS
-0.36,0.51,10.35,0,ALAT_DILEPAS
-0.35,0.58,10.33,0,ALAT_DILEPAS
-0.37,0.6,10.39,0,ALAT_DILEPAS
-0.37,0.65,10.4,0,ALAT_DILEPAS
-0.41,0.63,10.36,0,ALAT_DILEPAS
-0.43,0.58,10.3,0,ALAT_DILEPAS
-0.34,0.54,10.34,0,ALAT_DILEPAS
-0.36,0.59,10.33,0,ALAT_DILEPAS
-0.41,0.59,10.31,0,ALAT_DILEPAS
-0.37,0.58,10.37,0,ALAT_DILEPAS
-0.44,0.26,10.38,0,ALAT_DILEPAS
0.41,-1.1,9.8,0,ALAT_DILEPAS
0.37,-0.97,10.43,0,ALAT_DILEPAS
-0.04,-1.19,9.58,0,ALAT_DILEPAS
-0.43,-0.94,10.13,0,ALAT_DILEPAS
-0.6,-1.04,10.28,0,ALAT_DILEPAS
0.37,-0.52,9.1,0,ALAT_DILEPAS
0.46,-0.16,11.95,0,ALAT_DILEPAS
0.31,-0.09,10.38,0,ALAT_DILEPAS
0.28,-0.08,10.36,0,ALAT_DILEPAS
0.29,-0.07,10.35,0,ALAT_DILEPAS
0.28,-0.11,10.41,0,ALAT_DILEPAS
0.34,-0.06,10.39,0,ALAT_DILEPAS
0.32,-0.11,10.36,0,ALAT_DILEPAS
0.31,-0.05,10.39,0,ALAT_DILEPAS
0.32,-0.12,10.4,0,ALAT_DILEPAS
0.32,-0.13,10.4,0,ALAT_DILEPAS
0.31,-0.06,10.34,0,ALAT_DILEPAS
0.33,-0.04,10.41,0,ALAT_DILEPAS
0.29,-0.11,10.36,0,ALAT_DILEPAS
0.32,-0.12,10.35,0,ALAT_DILEPAS
0.34,-0.07,10.35,0,ALAT_DILEPAS
0.35,-0.09,10.42,0,ALAT_DILEPAS
0.36,-0.08,10.42,0,ALAT_DILEPAS
0.29,-0.07,10.36,0,ALAT_DILEPAS
0.33,-0.06,10.4,0,ALAT_DILEPAS
0.33,-0.08,10.41,0,ALAT_DILEPAS
0.29,-0.1,10.41,0,ALAT_DILEPAS
0.37,-0.07,10.39,0,ALAT_DILEPAS
0.33,-0.05,10.4,0,ALAT_DILEPAS
0.33,-0.09,10.41,0,ALAT_DILEPAS
0.34,-0.08,10.44,0,ALAT_DILEPAS
0.35,-0.06,10.37,0,ALAT_DILEPAS
0.34,-0.11,10.46,0,ALAT_DILEPAS
0.33,-0.08,10.38,0,ALAT_DILEPAS
0.35,-0.07,10.34,0,ALAT_DILEPAS
0.34,-0.11,10.36,0,ALAT_DILEPAS
0.34,-0.07,10.4,0,ALAT_DILEPAS
0.31,-0.07,10.43,0,ALAT_DILEPAS
0.33,-0.07,10.41,0,ALAT_DILEPAS
0.31,-0.08,10.39,0,ALAT_DILEPAS
0.34,-0.09,10.34,0,ALAT_DILEPAS
0.33,-0.09,10.39,0,ALAT_DILEPAS
0.32,-0.06,10.38,0,ALAT_DILEPAS
0.34,-0.04,10.39,0,ALAT_DILEPAS
0.31,-0.06,10.44,0,ALAT_DILEPAS
0.34,-0.06,10.36,0,ALAT_DILEPAS
0.36,-0.09,10.3,0,ALAT_DILEPAS
0.35,-0.1,10.41,0,ALAT_DILEPAS
0.36,-0.06,10.37,0,ALAT_DILEPAS
0.34,-0.08,10.44,0,ALAT_DILEPAS
0.35,-0.1,10.34,0,ALAT_DILEPAS
0.35,-0.07,10.38,0,ALAT_DILEPAS
0.29,-0.07,10.42,0,ALAT_DILEPAS
0.33,-0.08,10.39,0,ALAT_DILEPAS
0.31,-0.05,10.42,0,ALAT_DILEPAS
0.3,-0.09,10.37,0,ALAT_DILEPAS
0.3,-0.1,10.3,0,ALAT_DILEPAS
0.33,-0.09,10.36,0,ALAT_DILEPAS
0.3,-0.07,10.41,0,ALAT_DILEPAS
0.35,-0.07,10.38,0,ALAT_DILEPAS
0.35,-0.09,10.4,0,ALAT_DILEPAS
0.32,-0.07,10.44,0,ALAT_DILEPAS
0.34,-0.1,10.43,0,ALAT_DILEPAS
0.33,-0.1,10.34,0,ALAT_DILEPAS
0.3,-0.06,10.47,0,ALAT_DILEPAS
0.37,-0.07,10.42,0,ALAT_DILEPAS
0.34,-0.06,10.39,0,ALAT_DILEPAS
0.33,-0.07,10.38,393,ALAT_DILEPAS
0.34,-0.11,10.4,1069,ALAT_DILEPAS
0.34,-0.07,10.39,871,ALAT_DILEPAS
