Accel_X,Accel_Y,Accel_Z,LDR,Label
0.12,-2.55,10.06,133,SEDENTER
0.2,-2.49,10.11,133,SEDENTER
0.18,-2.55,10.07,132,SEDENTER
0.19,-2.5,10.05,146,SEDENTER
0.18,-2.49,10.07,155,SEDENTER
0.18,-2.54,10.07,151,SEDENTER
0.16,-2.5,10.02,149,SEDENTER
0.18,-2.52,10.09,147,SEDENTER
0.19,-2.49,10.08,148,SEDENTER
0.17,-2.56,10.09,146,SEDENTER
0.0,-2.52,10.13,149,SEDENTER
0.2,-2.54,10.13,153,SEDENTER
0.18,-2.51,10.07,153,SEDENTER
0.14,-2.51,10.11,153,SEDENTER
0.19,-2.56,10.07,162,SEDENTER
0.16,-2.53,10.11,158,SEDENTER
0.16,-2.55,10.04,156,SEDENTER
0.16,-2.52,10.15,165,SEDENTER
0.16,-2.6,10.01,158,SEDENTER
0.17,-2.53,10.11,155,SEDENTER
0.13,-2.5,10.04,153,SEDENTER
0.18,-2.49,10.02,154,SEDENTER
0.14,-2.55,10.0,148,SEDENTER
0.2,-2.52,10.06,149,SEDENTER
0.19,-2.54,10.11,150,SEDENTER
0.17,-2.52,10.09,149,SEDENTER
0.17,-2.5,10.1,155,SEDENTER
0.18,-2.52,10.09,151,SEDENTER
0.18,-2.49,10.01,155,SEDENTER
0.17,-2.51,10.04,151,SEDENTER
0.22,-2.53,10.08,151,SEDENTER
0.14,-2.52,10.05,154,SEDENTER
0.17,-2.57,10.07,154,SEDENTER
0.11,-2.55,10.06,154,SEDENTER
0.19,-2.5,10.11,145,SEDENTER
0.16,-2.51,10.06,147,SEDENTER
0.06,-2.58,9.99,146,SEDENTER
0.16,-2.54,10.1,147,SEDENTER
0.16,-2.57,10.08,146,SEDENTER
0.19,-2.51,10.09,147,SEDENTER
0.14,-2.54,10.11,147,SEDENTER
0.09,-2.56,10.08,152,SEDENTER
0.13,-2.54,10.07,144,SEDENTER
0.15,-2.49,10.06,154,SEDENTER
0.14,-2.55,10.0,148,SEDENTER
0.24,-2.5,9.92,146,SEDENTER
0.33,-2.34,10.15,149,SEDENTER
0.18,-2.46,10.06,151,SEDENTER
0.21,-2.48,10.08,150,SEDENTER
0.18,-2.44,10.18,153,SEDENTER
0.17,-2.49,10.11,151,SEDENTER
0.16,-2.5,10.08,148,SEDENTER
0.16,-2.47,10.11,145,SEDENTER
0.16,-2.47,10.13,147,SEDENTER
0.13,-2.44,10.09,144,SEDENTER
0.16,-2.49,10.06,149,SEDENTER
0.17,-2.45,10.14,145,SEDENTER
0.15,-2.48,10.04,143,SEDENTER
0.17,-2.47,10.1,147,SEDENTER
0.15,-2.49,10.13,149,SEDENTER
0.21,-2.54,9.98,145,SEDENTER
0.18,-2.53,10.08,143,SEDENTER
0.03,-2.37,10.25,144,SEDENTER
0.33,-2.66,9.63,144,SEDENTER
-0.07,-2.51,10.07,144,SEDENTER
0.21,-2.68,10.22,139,SEDENTER
0.16,-2.51,10.04,133,SEDENTER
0.11,-2.53,10.05,132,SEDENTER
0.08,-2.55,10.1,131,SEDENTER
0.12,-2.55,10.05,134,SEDENTER
0.12,-2.54,10.14,126,SEDENTER
0.2,-2.4,9.98,123,SEDENTER
0.07,-2.55,10.09,131,SEDENTER
0.09,-2.53,10.05,129,SEDENTER
0.11,-2.45,10.13,128,SEDENTER
0.11,-2.57,10.04,135,SEDENTER
0.11,-2.48,10.06,132,SEDENTER
0.07,-2.5,10.12,133,SEDENTER
0.14,-2.49,10.0,144,SEDENTER
0.1,-2.48,10.14,142,SEDENTER
0.13,-2.55,10.13,135,SEDENTER
0.1,-2.49,10.08,141,SEDENTER
0.06,-2.55,10.09,142,SEDENTER
0.12,-2.51,10.11,139,SEDENTER
0.08,-2.48,10.02,141,SEDENTER
0.11,-2.5,10.0,139,SEDENTER
0.12,-2.46,10.14,143,SEDENTER
0.16,-2.5,10.04,135,SEDENTER
0.19,-2.49,10.02,141,SEDENTER
0.07,-2.47,10.1,141,SEDENTER
0.14,-2.45,10.18,139,SEDENTER
0.08,-2.48,10.09,140,SEDENTER
0.08,-2.5,10.03,140,SEDENTER
0.05,-2.47,10.11,144,SEDENTER
0.1,-2.43,10.12,144,SEDENTER
0.11,-2.45,10.07,136,SEDENTER
