Accel_X,Accel_Y,Accel_Z,LDR,Label
0.8,-1.49,10.04,128,SEDENTER
0.72,-1.48,10.4,128,SEDENTER
0.77,-1.46,10.2,116,SEDENTER
0.74,-1.47,10.37,117,SEDENTER
0.72,-1.47,10.34,112,SEDENTER
0.76,-1.48,10.32,122,SEDENTER
0.79,-1.49,10.25,116,SEDENTER
0.76,-1.48,10.21,122,SEDENTER
0.77,-1.48,10.24,126,SEDENTER
0.79,-1.49,10.24,121,SEDENTER
0.78,-1.47,10.28,122,SEDENTER
0.8,-1.47,10.21,109,SEDENTER
0.73,-1.45,10.18,121,SEDENTER
0.73,-1.49,10.31,122,SEDENTER
0.75,-1.44,10.27,124,SEDENTER
0.75,-1.52,10.19,117,SEDENTER
0.71,-1.49,10.26,123,SEDENTER
0.73,-1.51,10.27,126,SEDENTER
0.72,-1.49,10.27,123,SEDENTER
0.77,-1.51,10.19,119,SEDENTER
0.75,-1.48,10.22,119,SEDENTER
0.71,-1.47,10.31,121,SEDENTER
0.76,-1.46,10.29,123,SEDENTER
0.76,-1.43,10.24,120,SEDENTER
0.75,-1.48,10.27,121,SEDENTER
0.73,-1.49,10.3,123,SEDENTER
0.79,-1.46,10.23,123,SEDENTER
0.81,-1.49,10.26,119,SEDENTER
0.77,-1.47,10.21,122,SEDENTER
0.76,-1.43,10.21,122,SEDENTER
0.79,-1.45,10.23,122,SEDENTER
0.79,-1.51,10.28,112,SEDENTER
0.78,-1.51,10.24,122,SEDENTER
0.76,-1.5,10.28,121,SEDENTER
0.73,-1.44,10.29,121,SEDENTER
0.78,-1.45,10.24,121,SEDENTER
0.79,-1.48,10.25,121,SEDENTER
0.73,-1.47,10.27,123,SEDENTER
0.79,-1.46,10.26,122,SEDENTER
0.79,-1.43,10.34,123,SEDENTER
0.78,-1.51,10.26,121,SEDENTER
0.76,-1.48,10.25,122,SEDENTER
0.79,-1.45,10.24,130,SEDENTER
0.79,-1.46,10.26,123,SEDENTER
0.79,-1.46,10.29,121,SEDENTER
0.81,-1.47,10.25,126,SEDENTER
0.81,-1.46,10.21,124,SEDENTER
0.8,-1.49,10.2,110,SEDENTER
0.82,-1.48,10.34,120,SEDENTER
0.8,-1.46,10.3,128,SEDENTER
0.79,-1.47,10.28,121,SEDENTER
0.81,-1.45,10.3,119,SEDENTER
0.8,-1.48,10.24,119,SEDENTER
0.79,-1.42,10.27,125,SEDENTER
