Accel_X,Accel_Y,Accel_Z,LDR,Label
0.28,0.05,10.41,0,TIDUR_NYENYAK
0.3,-0.0,10.45,0,TIDUR_NYENYAK
0.31,-0.03,10.4,0,TIDUR_NYENYAK
0.3,-0.03,10.35,0,TIDUR_NYENYAK
0.19,0.08,10.39,0,TIDUR_NYENYAK
0.31,0.0,10.42,0,TIDUR_NYENYAK
0.27,-0.01,10.44,0,TIDUR_NYENYAK
0.3,0.04,10.34,0,TIDUR_NYENYAK
0.29,-0.05,10.41,0,TIDUR_NYENYAK
0.28,0.01,10.41,0,TIDUR_NYENYAK
0.29,0.05,10.36,0,TIDUR_NYENYAK
0.3,-0.01,10.4,0,TIDUR_NYENYAK
0.31,-0.01,10.36,0,TIDUR_NYENYAK
0.29,0.01,10.45,0,TIDUR_NYENYAK
0.35,-0.05,10.34,0,TIDUR_NYENYAK
0.31,-0.0,10.38,0,TIDUR_NYENYAK
0.32,0.02,10.35,0,TIDUR_NYENYAK
0.27,-0.01,10.4,0,TIDUR_NYENYAK
0.27,-0.02,10.34,0,TIDUR_NYENYAK
0.29,0.02,10.39,0,TIDUR_NYENYAK
0.29,-0.0,10.41,0,TIDUR_NYENYAK
0.29,0.01,10.41,0,TIDUR_NYENYAK
0.3,0.02,10.47,0,TIDUR_NYENYAK
0.28,-0.04,10.47,0,TIDUR_NYENYAK
0.28,0.04,10.39,0,TIDUR_NYENYAK
0.26,0.02,10.4,0,TIDUR_NYENYAK
0.31,-0.01,10.46,0,TIDUR_NYENYAK
0.32,0.03,10.37,0,TIDUR_NYENYAK
0.27,0.0,10.36,0,TIDUR_NYENYAK
0.33,0.01,10.43,0,TIDUR_NYENYAK
0.29,-0.02,10.43,0,TIDUR_NYENYAK
0.28,0.0,10.39,0,TIDUR_NYENYAK
0.3,-0.0,10.48,0,TIDUR_NYENYAK
0.25,0.01,10.7,0,TIDUR_NYENYAK
0.3,0.0,10.4,0,TIDUR_NYENYAK
0.29,-0.03,10.44,0,TIDUR_NYENYAK
0.29,0.02,10.56,0,TIDUR_NYENYAK
0.25,0.01,10.36,0,TIDUR_NYENYAK
0.26,-0.03,10.39,0,TIDUR_NYENYAK
0.28,-0.06,10.42,0,TIDUR_NYENYAK
0.33,-0.01,10.39,0,TIDUR_NYENYAK
0.28,-0.0,10.41,0,TIDUR_NYENYAK
0.29,0.01,10.41,0,TIDUR_NYENYAK
0.3,-0.03,10.39,0,TIDUR_NYENYAK
0.27,-0.02,10.41,0,TIDUR_NYENYAK
0.04,0.06,10.87,0,TIDUR_NYENYAK
0.31,0.0,10.49,0,TIDUR_NYENYAK
