Accel_X,Accel_Y,Accel_Z,LDR,Label
0.39,-0.07,10.4,0,TIDUR_NYENYAK
0.39,-0.07,10.4,0,TIDUR_NYENYAK
-0.87,-0.11,10.58,0,TIDUR_NYENYAK
-0.2,1.18,10.19,0,TIDUR_NYENYAK
-0.58,2.16,7.61,0,TIDUR_NYENYAK
0.09,0.42,10.32,0,TIDUR_NYENYAK
-0.56,-0.26,10.44,0,TIDUR_NYENYAK
-0.63,-0.18,10.35,0,TIDUR_NYENYAK
-2.25,-0.66,11.45,0,TIDUR_NYENYAK
-0.65,-0.35,10.24,0,TIDUR_NYENYAK
-0.66,-0.3,10.34,0,TIDUR_NYENYAK
-0.23,-0.08,10.28,0,TIDUR_NYENYAK
-0.33,-0.1,10.38,0,TIDUR_NYENYAK
-0.34,-0.11,10.39,0,TIDUR_NYENYAK
-0.32,-0.1,10.39,0,TIDUR_NYENYAK
-0.21,-0.05,10.34,0,TIDUR_NYENYAK
-0.3,0.01,10.36,0,TIDUR_NYENYAK
-0.35,0.01,10.41,0,TIDUR_NYENYAK
-0.31,-0.01,10.43,0,TIDUR_NYENYAK
-0.33,0.02,10.41,0,TIDUR_NYENYAK
-0.32,-0.0,10.37,0,TIDUR_NYENYAK
-0.33,0.03,10.35,0,TIDUR_NYENYAK
-0.33,0.06,10.39,0,TIDUR_NYENYAK
-0.34,0.02,10.34,0,TIDUR_NYENYAK
-0.38,0.04,10.45,0,TIDUR_NYENYAK
-0.35,0.04,10.36,0,TIDUR_NYENYAK
-0.35,0.04,10.36,0,TIDUR_NYENYAK
-0.32,0.04,10.41,0,TIDUR_NYENYAK
-0.27,0.01,10.4,0,TIDUR_NYENYAK
-0.35,-0.0,10.34,0,TIDUR_NYENYAK
-0.24,0.09,10.32,0,TIDUR_NYENYAK
-0.32,0.04,10.41,0,TIDUR_NYENYAK
-0.31,0.11,10.39,0,TIDUR_NYENYAK
-0.38,0.04,10.39,0,TIDUR_NYENYAK
-0.29,0.11,10.4,0,TIDUR_NYENYAK
-0.32,0.09,10.28,0,TIDUR_NYENYAK
-0.31,0.06,10.31,0,TIDUR_NYENYAK
-0.35,0.06,10.34,0,TIDUR_NYENYAK
-0.35,0.1,10.37,0,TIDUR_NYENYAK
-0.36,0.05,10.39,0,TIDUR_NYENYAK
-0.35,0.11,10.31,0,TIDUR_NYENYAK
-0.27,0.08,10.3,0,TIDUR_NYENYAK
-0.33,0.08,10.31,0,TIDUR_NYENYAK
-0.28,0.09,10.35,0,TIDUR_NYENYAK
-0.38,0.08,10.41,0,TIDUR_NYENYAK
-0.33,0.09,10.39,0,TIDUR_NYENYAK
-0.37,0.11,10.39,0,TIDUR_NYENYAK
-0.3,0.1,10.34,0,TIDUR_NYENYAK
-0.4,0.12,10.4,0,TIDUR_NYENYAK
-0.37,0.1,10.39,0,TIDUR_NYENYAK
-0.38,0.11,10.39,0,TIDUR_NYENYAK
-0.33,0.12,10.43,0,TIDUR_NYENYAK
-0.4,0.18,10.33,0,TIDUR_NYENYAK
-0.42,0.12,10.38,0,TIDUR_NYENYAK
-0.4,0.09,10.3,0,TIDUR_NYENYAK
-0.37,0.16,10.33,0,TIDUR_NYENYAK
-0.37,0.08,10.38,0,TIDUR_NYENYAK
-0.39,0.11,10.41,0,TIDUR_NYENYAK
-0.32,0.12,10.42,0,TIDUR_NYENYAK
-0.33,0.13,10.35,0,TIDUR_NYENYAK
-0.31,0.16,10.39,0,TIDUR_NYENYAK
-0.4,0.11,10.43,0,TIDUR_NYENYAK
-0.34,0.13,10.33,0,TIDUR_NYENYAK
-0.34,0.15,10.41,0,TIDUR_NYENYAK
-0.4,0.18,10.31,0,TIDUR_NYENYAK
-0.35,0.14,10.39,0,TIDUR_NYENYAK
-0.33,0.09,10.32,0,TIDUR_NYENYAK
-0.39,0.11,10.36,0,TIDUR_NYENYAK
-0.39,0.14,10.42,0,TIDUR_NYENYAK
-0.39,0.13,10.43,0,TIDUR_NYENYAK
-0.35,0.15,10.37,0,TIDUR_NYENYAK
-0.37,0.13,10.38,0,TIDUR_NYENYAK
-0.35,0.17,10.4,0,TIDUR_NYENYAK
-0.39,0.14,10.35,0,TIDUR_NYENYAK
-0.39,0.16,10.34,0,TIDUR_NYENYAK
-0.37,0.13,10.34,0,TIDUR_NYENYAK
-0.36,0.15,10.29,0,TIDUR_NYENYAK
-0.36,0.11,10.35,0,TIDUR_NYENYAK
-0.38,0.12,10.33,0,TIDUR_NYENYAK
-0.35,0.14,10.41,0,TIDUR_NYENYAK
-0.4,0.11,10.35,0,TIDUR_NYENYAK
-0.31,0.12,10.38,0,TIDUR_NYENYAK
-0.37,0.14,10.38,0,TIDUR_NYENYAK
-0.4,0.17,10.46,0,TIDUR_NYENYAK
-0.34,0.11,10.42,0,TIDUR_NYENYAK
-0.34,0.11,10.35,0,TIDUR_NYENYAK
-0.37,0.11,10.35,0,TIDUR_NYENYAK
-0.35,0.17,10.39,0,TIDUR_NYENYAK
-0.36,0.11,10.34,0,TIDUR_NYENYAK
-0.36,0.15,10.32,0,TIDUR_NYENYAK
-0.36,0.18,10.35,0,TIDUR_NYENYAK
-0.35,0.11,10.3,0,TIDUR_NYENYAK
-0.38,0.15,10.3,0,TIDUR_NYENYAK
-0.39,0.2,10.4,0,TIDUR_NYENYAK
-0.41,0.12,10.42,0,TIDUR_NYENYAK
-0.38,0.17,10.36,0,TIDUR_NYENYAK
-0.41,0.17,10.36,0,TIDUR_NYENYAK
-0.38,0.19,10.35,0,TIDUR_NYENYAK
-0.38,0.17,10.37,0,TIDUR_NYENYAK
-0.45,0.13,10.29,0,TIDUR_NYENYAK
-0.43,0.17,10.37,0,TIDUR_NYENYAK
-0.41,0.22,10.32,0,TIDUR_NYENYAK
-0.37,0.14,10.35,0,TIDUR_NYENYAK
-0.41,0.17,10.35,0,TIDUR_NYENYAK
-0.41,0.16,10.38,0,TIDUR_NYENYAK
-0.47,0.19,10.35,0,TIDUR_NYENYAK
-0.41,0.16,10.34,0,TIDUR_NYENYAK
-0.42,0.17,10.36,0,TIDUR_NYENYAK
-0.4,0.18,10.38,0,TIDUR_NYENYAK
-0.41,0.22,10.4,0,TIDUR_NYENYAK
-0.42,0.13,10.31,0,TIDUR_NYENYAK
-0.46,0.16,10.34,0,TIDUR_NYENYAK
-0.44,0.2,10.32,0,TIDUR_NYENYAK
-0.45,0.16,10.35,0,TIDUR_NYENYAK
-0.42,0.18,10.32,0,TIDUR_NYENYAK
-0.42,0.17,10.36,0,TIDUR_NYENYAK
-0.43,0.25,10.35,0,TIDUR_NYENYAK
-0.4,0.16,10.44,0,TIDUR_NYENYAK
-0.36,0.21,10.51,0,TIDUR_NYENYAK
-0.46,0.18,10.35,0,TIDUR_NYENYAK
-0.19,0.12,10.19,0,TIDUR_NYENYAK
-0.07,-0.0,10.39,0,TIDUR_NYENYAK
-0.07,0.03,10.5,0,TIDUR_NYENYAK
-0.07,0.0,10.43,0,TIDUR_NYENYAK
-0.11,0.02,10.46,0,TIDUR_NYENYAK
-0.13,-0.03,10.41,0,TIDUR_NYENYAK
-0.11,0.01,10.35,0,TIDUR_NYENYAK
-0.09,0.03,10.41,0,TIDUR_NYENYAK
-0.14,0.02,10.43,0,TIDUR_NYENYAK
-0.14,0.06,10.3,0,TIDUR_NYENYAK
-0.2,0.03,10.42,0,TIDUR_NYENYAK
-0.2,0.08,10.33,0,TIDUR_NYENYAK
-0.21,0.06,10.41,0,TIDUR_NYENYAK
-0.2,0.09,10.4,0,TIDUR_NYENYAK
-0.19,0.09,10.38,0,TIDUR_NYENYAK
-0.21,0.07,10.33,0,TIDUR_NYENYAK
-0.23,0.1,10.34,0,TIDUR_NYENYAK
-0.23,0.1,10.41,0,TIDUR_NYENYAK
